tcode,description,module
PFOM,Maintain Assignment to SAP Org.Objs,
PFTC,General Task Maintenance,
PIMG_XPSVEOD0,SAP Enhancement/Pension Recipient,
PIU1,View program example 1,
PIU2,View program example 2,
PIU3,View program example 3,
PK05,PP Maintain Supply Area (Kanban),
PK06,PP Maintain Supply Area (Kanban),
PK11,Plant Overview: Kanban,
PK12N,Kanban Board: Supply Source View,
PK13N,Kanban Board: Demand Source View,
PK17,Collective Kanban Print,
PK18,Evaluation Control Cycle/Kanban,
PK21,Change Kanban Container Status,
PK22,Kanban Quantity Signal,
PK31,Container Correction,
PK50,Display Errors: Kanban,
PKMC,Control Cycle Maintenance,
PLMC_AUDIT_MAPPING,Customizing Field Assignment MS Proj,
PLMC_AUDIT_SFAC_AQN,Field Selectn:Audit Questn List/Item,
PLMC_AUDIT_SFAC_AUO,Field Selection: Audit,
PLMC_AUDIT_SFAC_AUP,Field Selection: Audit Plan,
PLMC_AUDIT_SFAC_COR,Field Selectn: Audit Corrective Actn,
PLMC_AUDIT_SFAC_QUE,Field Selectn: Audit QuestnList Item,
PLMC_AUDIT_SFAC_QUN,Field Selection: Audit Question List,
PM01,Enhance Infotypes,
PM22,Copy and Delete Statement,
PMSV,Reversal of Margin Flows,
PMVM,Calculate variation margin,
PO10,Maintain Organizational Unit,
POP1,Create Packing Instruction,
POP2,Change Packing Instruction,
PP01,Maintain Plan Data (Menu-Guided),
PPCCUS1,PPC: Number Range Maintenance,
PPCI,Copy Infotype,
PPMDTCW,Customizing wizard Manager's Desktop,
PPOCE,Create Organization and Staffing,
PPPDC02,Initial and Delta Dowload PP-PDC,
PPPDC03,Upload Request PP-PDC,
PPPDC04,Update PDC Messages PP-PDC,
PR10,Number Range Maint.: RP_REINR,
PR11,Number range maint.: HRTR_PDOC,
PR12,Number Range Maint. for Posting Runs,
PR71,Customizing Coding Block 1701,
PR72,Customizing Coding Block 1702,
PR73,Customizing Coding Block 1703,
PRC7,Customizing Coding Block 1700,
PRCD,Delete/Copy Trip Countries,
PRCO,Copy Trip Provision Variant,
PRDE,Delete Trip Prov.Variant,
PREP,Import Program for Per Diems,
PRHD,Maximum Value Delimitation for Meals,
PRHH,Scale Maximum Amounts for Meals,
PRHP,Scale Per Diems for Meals,
PRPD,Delimitation of Per Diems for Meals,
PRPHU,Customizing Print Profiles HU,
PRPPRO,Call Maintenance View for Print Prof,
PRPSHP,Custimizing print profiles shipping,
PRPTRA,Customizing print profile transport,
PRT3,Travel Expenses: Maintain Postings,
PRUL,Travel Expense PDs/FRs: Upload,
PRVH,Scale Maximum Amounts for Meals,
PRVP,Scale Per Diems for Meals,
PR_CHECK,Check Customizing Settings,
PSB1,Generate Tax scales (B),
PSEN_IMG_XX_CUST,Display settings,
PSSD,Check BNL flow types,
PT01,Create Work Schedule,
PT02,Change Work Schedule,
PT10,Number Range Maintenance: PTM_DOCNR,
PT11,Number Range Maintenance: PTM_QUONR,
PT12,Number Range Maintenance: HRAA_PDOC,
PT41,Customizing CC1 Communication Param.,
PTG1,Pflegen Krankengeld-Bezahlung (GB),
PTRV_FILL_PERS,Personalization: Trip Approval,
PTRV_RESPO,Contact Partner Responsibilities,
PT_FMLA_DOC_NUM,Number Range Maintenance: PT_FMLDOCN,
PT_FMLA_REQ_NUM,Number Range Maintenance: PT_FMLAN,
PU11,Supplementary Pension: Public Sector,
PU12,Connection to Third-Party Payroll,
PU30,Wage Type Maintenance,
PU95,HR: Maintain Log. Views & WT Groups,
PU96,HR: Maintain Wage Type Groups,
PU97,HR: Logical View Maintenance,
PUC0,HR-CH: Maintain MA attributes,
PUCE,PC editor for PF,
PUCF,PC Form Maintenance PF,
PUCG,Global Funds Copier,
PUCK,Entity copier for funds,
PUCP,PC Parameter Maintenance for PF,
PUCV,Entity copier for PC objects,
PUCW,Maintenanace of HSC tasks for PF,
PUFK,Form manager,
PULT,Transport HR Tables for Logistics,
PUU2,transaction of sapmpuu2,
PV35,Appraisal Conversion Program,
PVDM,Maintain Dynamic Menus,
PVF1,Maintain Location,
PVG3,Maintain Room,
PVR1,Maintain Room Equipment,
PVSEARCH_ADM,Administer Search Engine,
PVV0,Create/Change Service,
PW91,Incentive Wages: Control Parameters,
PW92,Incentive Wages: User Exits,
PW93,Incentive Wages: Group Parameters,
PW94,Inc. Wages: Logistics Parameters,
PWPC,Convert Column Framework,
PWPC_CONV_MDT_TO_LPA,Convert MDT Data to MSS LPA,
PX01,"Planning Area, External Plan. Tool",
PX02,"Planning Tool, Physical System",
PX04,Ext.Planning Tool: StartParam. WinNT,
QA01,Create Inspection Lot,
QA02,Change Inspection Lot,
QA03,Display inspection lot,
QA05,Job planning: Periodic inspection,
QA06,Job overview: Periodic inspection,
QA07,Trigger for recurring inspection,
QA07L,Deadline Monitoring Log,
QA09,No. range maintenance for insp.lots,
QA10,Trigger automatic usage decision,
QA11,Record usage decision,
QA12,Change usage decision with history,
QA13,Display usage decision,
QA16,Collective UD for accepted lots,
QA32,Change data for inspection lot,
QA33,Display data for inspection lot,
QAC1,Change insp. lot actual quantity,
QAC2,Transfer stock to insp. lot,
QAC3,Reset sample,
QC01,Create certificate profile,
QC02,Change certificate profile,
QC03,Display certificate profile,
QC06,Immediate delete of cert. profiles,
QC15,Create cert. profile assignment,
QC17,Display cert. profile assignment,
QC20,Certificates for Deliveries,
QC21,Quality certificate for the insp.lot,
QC22,Quality Certificate for Batch,
QC51,Create certificate in procurement,
QC52,Change certificate in procurement,
QC55,Worklist: Certificates - Procurement,
QCCC,QM standard settings complete,
QCCF,QM standard forms,
QCCK,QM standard settings: Catalogs,
QCCM,QM std. settings: Qual. notifs.,
QCCN,QM standard number ranges,
QCCP,QM std. settings: Quality planning,
QCCS,QM sampling schemes,
QCCT,QM standard texts,
QCCU,QM standard settings: Environment,
QCCW,QM std. settings: Quality inspection,
QCCY,Transport QM tolerance key,
QCCZ,QM std. settings: Qual. certificates,
QCMS,Certificate for Inspection Lot w. MS,
QDB1,Maintain allowed relationships,
QDB3,Display allowed relationships,
QDH2,Q-level evaluation: Display data,
QDL1,Create quality level,
QDL2,Change quality level,
QDL3,Display quality level,
QDP1,Create sampling scheme,
QDP2,Change sampling scheme,
QDP3,Display sampling scheme,
QDR1,Create dynamic modification rule,
QDR2,Change dynamic modification rule,
QDR3,Display dynamic modification rule,
QDR6,Disp. where-used list-dyn. mod. rule,
QDR7,Replace dynamic mod. rule used,
QDV1,Create sampling procedure,
QDV2,Change sampling procedure,
QDV3,Display sampling procedure,
QDV6,Uses: Sampling procedures,
QDV7,Replace sampling procedure used,
QE01,Record characteristic results,
QE03,Display characteristic results,
QE11,Record results for inspection point,
QE13,Display results for inspection point,
QE29,No. Range Maint.: Conf. No. for Char,
QE51,Results recording worklist,
QE51N,Results Recording Worklist,
QEI1,Displaying QM Interfaces Appl. Log,
QEW01V,Variant Maint.: Recording on Web,
QF02,Change defect data,
QF03,Display defect data,
QF11,Record defects for inspection lot,
QF21,Record defects for operation,
QF31,Record defects for characteristic,
QG09,Maint. num. range Q control charts,
QGA2,Display inspection results,
QI01,Create quality info. - purchasing,
QI02,Change qual.information - purchasing,
QI03,Display quality info. - purchasing,
QI07,Incoming insp. and open pur. orders,
QISRCONF,ISR Wizard Initial Screen,
QISRLIST,ISR Wizard: List of Scenarios,
QISRTRANSPORT,ISR Customizing Transport,
QISR_PCR60,vc_scenario for Message type 60(PCR),
QK01,Assign QM order to material,
QK02,Display assigned QM orders,
QK03,Maintain Specs for Order Type,
QK04,Create QM order,
QM01,Create quality notification,
QM02,Change quality notification,
QM03,Display quality notification,
QM10,Change list of quality notifications,
QM11,Display List of Qual. Notifications,
QM13,Display list of tasks,
QM15,Display list of items,
QM17,Display activity list,
QM50,Time line display Q notifications,
QP03,Display Inspection Plan,
QP05,Print inspection plan,
QP06,List: Missing/unusable insp. plans,
QP07,List: Missing/Unusable GR InspPlans,
QP08,Print task lists for material,
QP48,Number Ranges for Physical Samples,
QP49,Number range for phys. samp. drawing,
QP60,Time-related development of plans,
QP61,Display change documents insp.plan,
QPR1,Create physical sample,
QPR2,Change Sample,
QPR3,Display physical sample,
QPR4,Confirm physical sample drawing,
QPR5,Manual inspection lots for physSamps,
QPV2,Maintain sample drawing procedure,
QPV3,Display sample drawing procedure,
QS21,Create master insp. characteristic,
QS22,Create master insp. charac. version,
QS23,Change master insp. charac. version,
QS24,Display master insp. charac. version,
QS26,Display characteristic use,
QS28,Display insp. charac. list,
QS29,Maintain characteristic number range,
QS31,Create inspection method,
QS32,Create inspection method version,
QS33,Change inspection method version,
QS34,Display inspection method version,
QS36,Display inspection method use,
QS38,Display inspection method list,
QS39,Maintain method number range,
QS41,Maintain catalog,
QS42,Display catalog,
QS43,Maintain catalog,
QS49,Display code groups and codes,
QS51,Edit Selected Sets,
QS52,Display selected set index,
QS59,Display selected sets,
QVM2,Inspection lots with open quantities,
RBDAPP01,Variante for RBDAPP01,
RBDCPCLR,Variant for RBDCPCLR,
RBDMANI2,Variant for RBDMANI2,
RBDMIDOC,Variant for RBDMIDOC,
RBDMOIND,Variant for RBDMOIND,
RBDSER01,Variant for RBDSER01,
RBDSTATE,Variant for RBDSTATE,
RBT_ENH_CHECK,Check Variable Key,
RBT_ENH_GEN,Generation of the Update,
RBT_ENH_REBUILD,Reorganization of Infostructure S469,
RBT_ENH_SIMULATE,Comparison of Info Structure S469,
RCJCLMIG,Conversion report for free charact.,
RCNPRECP,Activation of ECP Plan Versions,
RCP_NR,Maintain Number Ranges for Vers.,
REAJCG0002,CG: Field Groups,
REAJCG0003,CG: Views,
REAJCG0004,CG: Sections,
REAJCG0005,CG: Screens,
REAJCG0006,CG: Screen Sequences,
REAJCG0007,CG: Events,
REAJCG0016,CG: Tables,
REAJCG0100,CG: Field Modification per Activity,
REAT0002,AM: Field Groups,
REAT0003,AM: Views,
REAT0004,AM: Sections,
REAT0005,AM: Screens,
REAT0006,AM: Screen Sequences,
REAT0007,AM: Events,
REAT0016,AM: Tables,
REAT0100,AM: Field Modification per Activity,
REBDAO0002,AO: Field Groups,
REBDAO0003,AO: Views,
REBDAO0004,AO: Sections,
REBDAO0005,AO: Screens,
REBDAO0006,AO: Screen Sequences,
REBDAO0007,AO: Events,
REBDAO0016,AO: Tables,
REBDAO0100,AO: Field Modification per Activity,
REBDBE,Process Business Entity,
REBDBE0002,BE: Field Groups,
REBDBE0003,BE: Views,
REBDBE0004,BE: Sections,
REBDBE0005,BE: Screens,
REBDBE0006,BE: Screen Sequences,
REBDBE0007,BE: Events,
REBDBE0016,BE: Tables,
REBDBE0100,BE: Field Modification per Activity,
REBDBU,Process Building,
REBDBU0002,BU: Field Groups,
REBDBU0003,BU: Views,
REBDBU0004,BU: Stages,
REBDBU0005,BU: Screens,
REBDBU0006,BU: Screen Sequences,
REBDBU0007,BU: Events,
REBDBU0016,BU: Tables,
REBDBU0100,BU: Field Modification per Activity,
REBDPR,Process Property,
REBDPR0002,PR: Field Groupings,
REBDPR0003,PR: Views,
REBDPR0004,PR: Stages,
REBDPR0005,PR: Screens,
REBDPR0006,PR: Screen sequences,
REBDPR0007,PR: Events,
REBDPR0016,PR: Tables,
REBDPR0100,PR: Field Modification per Activity,
REBDRO,Process Rental Object,
REBDRO0002,RO: Field Groups,
REBDRO0003,RO: Views,
REBDRO0004,RO: Sections,
REBDRO0005,RO: Screens,
REBDRO0006,RO: Screen Sequences,
REBDRO0007,RO: Events,
REBDRO0016,RO: Tables,
REBDRO0100,RO: Field Modification per Activity,
RECACC,Check Customizing Settings,
RECAGUICUST,System Settings: Interface,
RECALN,Number Range Maint: RECALOG,
RECAPICCUST,System Settings: Background Graphic,
RECATM,Manage Text Modules,
RECATMCLIENTCOPY,Client Copy Text Modules,
RECDDC01,Derivation Tool:Maintain Transaction,
RECN,Process Contract,
RECOPLCSTLAY01,Create Cost Element Planning Layout,
RECOPLCSTLAY02,Change Cost Element Planning Layout,
RECOPLCSTLAY03,Display Cost Element Planning Layout,
RECOPLKYFLAY01,Create Stat. KF Planning Layout,
RECOPLKYFLAY02,Change Stat. KF Planning Layout,
RECOPLKYFLAY03,Display Stat. KF Planning Layout,
RECOPLLAYIMP,RE: Import Planning Layout,
RECOPLLAYTR,RE: Transport Planning Layouts,
RECRWF,Customizing Workflow Recruitmnt Form,
REEXACCSTGNDAT,Electr. Account Statement: Test Data,
REEXACCSTGNTXT,Electr. Account Statement: Gen. File,
REGC0002,Field Groups,
REGC0003,Views,
REGC0004,Sections,
REGC0005,Screens,
REGC0006,Screen Sequences,
REGC0007,Events,
REGC0016,Tables,
REGC0100,GC: Field Modification per Activity,
RELML00002,L0: Field Groups,
RELML00003,L0: Views,
RELML00004,L0: Sections,
RELML00005,L0: Screens,
RELML00006,L0: Screen Sequences,
RELML00007,L0: Events,
RELML00016,L0: Tables,
RELML00100,L0: Field Modifcation per Activity,
RELML10002,L1: Field Groups,
RELML10003,L1: Views,
RELML10004,L1: Sections,
RELML10005,L1: Screens,
RELML10006,L1: Screen Sequences,
RELML10007,L1: Events,
RELML10016,L1: Tables,
RELML10100,L1: Field Modification per Activity,
RELML20002,L2: Field Groups,
RELML20003,L2: Views,
RELML20004,L2: Sections,
RELML20005,L2: Screens,
RELML20006,L2: Screen Sequences,
RELML20007,L2: Events,
RELML20016,L2: Tables,
RELML20100,L2: Field Modification per Activity,
RELML30002,L3: Field Groups,
RELML30003,L3: Views,
RELML30004,L3: Sections,
RELML30005,L3: Screens,
RELML30006,L3: Screen Sequences,
RELML30007,L3: Events,
RELML30016,L3: Tables,
RELML30100,L3: Field Modification per Activity,
RELML40002,L4: Field Groups,
RELML40003,L4: Views,
RELML40004,L4: Sections,
RELML40005,L4: Screens,
RELML40006,L4: Screen Sequences,
RELML40007,L4: Events,
RELML40016,L4: Tables,
RELML40100,L4: Field Modification per Activity,
RELML50002,L5: Field Groups,
RELML50003,L5: Views,
RELML50004,L5: Sections,
RELML50005,L5: Screens,
RELML50006,L5: Screen Sequences,
RELML50007,L5: Events,
RELML50016,L5: Tables,
RELML50100,L5: Field Modification per Activity,
RELMPECSNO,Number Range Maintenance: RELMPECS,
RELMPEPSNO,Number Range Maintenance: RELMPEPS,
REMMHB,Number Range Maint. for House Banks,
REMMMNID,Number Range Maintenance - Mandates,
REMN0002,MN: Field Groups,
REMN0003,MN: Views,
REMN0004,MN: Sections,
REMN0005,MN: Screens,
REMN0006,MN: Screen Sequences,
REMN0007,MN: Events,
REMN0016,MN: Tables,
REMN0100,MN: Fld Modific. per Acktivity Custo,
REOROF0002,OF: Field Groups,
REOROF0003,OF: Views,
REOROF0004,OF: Sections,
REOROF0005,OF: Screens,
REOROF0006,OF: Screen Sequences,
REOROF0007,OF: Events,
REOROF0016,OF: Tables,
REOROF0100,OF: Field Modification per Activity,
REOROFID,Number Range Maintenance: REOROF,
REOROO0002,OO: Field Groups,
REOROO0003,OO: Views,
REOROO0004,OO: Sections,
REOROO0005,OO: Screens,
REOROO0006,OO: Screen Sequences,
REOROO0007,OO: Events,
REOROO0016,OO: Tables,
REOROO0100,OO: Field Modification per Activity,
REOROOID,Number Range Maintenance: REOROO,
REORRR0002,RR: Field Groups,
REORRR0003,RR: Views,
REORRR0004,RR: Sections,
REORRR0005,RR: Screens,
REORRR0006,RR: Screen Sequences,
REORRR0007,RR: Events,
REORRR0016,RR: Tables,
REORRR0100,RR: Field Modification per Activity,
REORRRID,Number Range Maintenance: REORRR,
RERAINVNO,Number Range Maint: RERAINV,
RERFVICUP8,Check Prog Customizing Bank Statemnt,
RESCPG0002,PG: Field Groups,
RESCPG0003,PG: Views,
RESCPG0004,PG: Sections,
RESCPG0005,PG: Screens,
RESCPG0006,PG: Screen Sequences,
RESCPG0007,PG: Events,
RESCPG0016,PG: Tables,
RESCPG0100,PG: Field Modification per Activity,
RESCSU,Edit Settlement Unit,
RESCSU0002,SU: Field Groups,
RESCSU0003,SU: Views,
RESCSU0004,SU: Sections,
RESCSU0005,SU: Screens,
RESCSU0006,SU: Screen Sequences,
RESCSU0007,SU: Events,
RESCSU0016,SU: Tables,
REXCMSCE,Number Range Maintenance: REXCMSCE,
RE_RHALEACU,HR: ALE Auto Customizing HR-RW/LO,
RE_RHALEHRMDORIGINIT,HR: Initialize Orig.Sys. - Plan.Data,
RFTS6510,Load TR-CM Payment Advices from File,
RISV,Setup: Retail Info System - Versions,
RLMFW_NUM,Number Ranges for Release Management,
RLMFW_OOCU,Processor in Release Management,
RMBDSN,BDS: Number Range for Runs,
RMBK1,BCA: Derivation Strategy,
RMD01,FO: Derivation Strategy,
RMDR1,Gen.Transaction: Derivation Strategy,
RMFZ1,Derivation of RM Part for Facilities,
RMIBKKA,BCA Account: FO Integrationr. act./inact.,
RMIFGDT,Gen.Trans.: Act/Deact FO Integrationration,
RMIJBVT,Var. Trans.: FO Integrationr. act./inact.,
RMIKLFZ,Facility: Activate/Deactivate FO Int,
RMPSACTIVATEWF,Activation of Process Routes,
RMPS_DOCNR,Nummer Range Maintenance: RMPSDOCNR,
RMPS_MAINT_PATH_POST,Maintain P. Route Incoming Post Item,
RMPS_RULEBASE,Disposal Schedules,
RMS_EQR_NR,Maintain Number Ranges for Equip.Req,
RMS_POB_NR,Maintain No. Ranges for Process Mgmt,
RMVT1,Variable Trans: Derivation Strategy,
RMXT_IMG01,Transf. Characteristics frm Client 0,
ROE1,Number Range for ROE Evaluation Run,
ROLE_CMP,Compare Roles,
RP09_LOAN_INIT,"Loans: Initialization (IT3,VIEKN)",
RPB0,Info.Sys. Proc.: Presettings,
RPC0,Info. System CCtrs: Presettings,
RPLM_MT_REPORTING,Report-Launchpad Maint. Technician,
RPLM_PSS_REPORTING,Report LaunchPad PSS,
RPLM_QI_REPORTING,Support LaunchPad- Quality Inspector,
RPO0,Info. System Orders: Presettings,
RPPN,Proj. Info System: Default Settings,
RPXN,CO-OM Information System: Settings,
RRMXP,Initial Trans. for Excel wth Params,
RRMX_CUST,Initial Trans. for Excel wth Params,
RSA5,Install Business Content,
RSA6,Maintain DataSources,
RSA7,BW Delta Queue Monitor,
RSA9,Transfer Application Components,
RSADRTC70TOADR11,Conversion of table TC70 in ADR11,
RSASSIBTCH,Schedule Assistant in Background,
RSBWREMOTE,Create Warehouse User,
RSCUSTV1,BW Customizing - View 1,
RSCUSTV11,BW Customizing - View 11,
RSCUSTV14,OLAP: Cache Parameters,
RSCUSTV15,BW Customizing - View 11,
RSCUSTV17,Settings: Currency Translation,
RSCUSTV19,InfoSet Settings,
RSCUSTV2,BW Customizing - View 2,
RSCUSTV21,BW Customizing - View 21,
RSCUSTV23,BW Customizing - View 21,
RSCUSTV24,Quantity Conversion: Buffer Setting,
RSCUSTV25,Database Interface/Performance,
RSCUSTV26,Database Interface/Perf. (ORA),
RSCUSTV27,Set Standard Web Templates,
RSCUSTV28,Determine Settings for Web Templates,
RSCUSTV29,Settings for Web Template,
RSCUSTV3,BW Customizing - View 3,
RSCUSTV30,Load Distribution for Analys. Proc.,
RSCUSTV4,BW Customizing - View 4,
RSCUSTV5,BW Customizing - View 5,
RSCUSTV6,BW Customizing - View 6,
RSCUSTV8,BW Customizing - View 8,
RSCUSTV9,BW Customizing - View 9,
RSEIDOCA,Active IDoc Monitoring with Workflow,
RSEOUT00,Variant for RSEOUT00,
RSLGMP,Maintain RSLOGSYSMAP,
RSMONCOLOR,Traffic light color in the Monitor,
RSMONMAIL,Mail Addresses for Monitor Assistant,
RSMT_CHECK,Check Customizing,
RSO2,Oltp Metadata Repository,
RSODADMIN,Metadata Search Administration,
RSODADMIN_DOC,Document Administration,
RSODMIGRATION,Migration of Documen. into Portal KM,
RSODSO_SETTINGS,Maintenance of Runtime Param. DS Obj,
RSPLSA,BI Planning: Starter Settings,
RSPLSE,BI Planning: Lock Management,
RSPOR_CUST01,NetWeaver Customizing - Step 1,
RSPOR_CUST02,NetWeaver Customizing - Step 2,
RSPOR_CUST03,NetWeaver Customizing - Step 3,
RSPOR_CUST04,NetWeaver Customizing - Step 4,
RSPOR_CUST05,NetWeaver Customizing - Step 5,
RSPOR_CUST06,NetWeaver Customizing - Step 6,
RSPOR_CUST07,NetWeaver Customizing - Step 7,
RSPOR_CUST08,NetWeaver Customizing - Step 8,
RSPOR_CUST09,NetWeaver Customizing - Step 9,
RSPOR_CUST10,NetWeaver Customizing - Step 10,
RSPOR_CUST11,NetWeaver Customizing - Step 11,
RSPOR_CUST12,NetWeaver Customizing - Step 12,
RSPOR_CUST13,NetWeaver Customizing - Step 13,
RSPRECADMIN,BW Excel Workbook Precalc Admin,
RSSCD100,Display Change Documents,
RSSCD100_PFCG,Change Documents for Role Admin.,
RSSCD100_PFCG_USER,For Role Assignment,
RSTC_CUST_BIAC,Customizing to call BI Admin Cockpit,
RSTPRFC,Create Destination for After-Import,
RSUSR200,List of Users per Login Date,
RS_CONV_ACTIVATE,Activate InfoObject Conversion,
RS_PERS_ACTIVATE,Activation of BEx Personalization,
RTAXMCHECK,Tax Material Check for MLAN Table,
RTHCOC,Create Retail Object Assignment,
RTHCOD,Display Retail Object Assignment,
RTHCOM,Change Retail Object Assignment,
RWBE,Stock Overview,
S00,Short Message,
SAIS,AIS - Workplace,
SARE,Archive Explorer,
SBWP,SAP Business Workplace,
SCAL,Factory Calendar with GUI,
SCDN,Change Documents: Number Ranges,
SCDO,Display Change Document Objects,
SCMP,View/Table Comparison,
SDV,Document Viewer,
SDV1,Expiring Contracts,
SDV2,Expired Contracts,
SE01,Transport Organizer (Extended),
SE09,Transport Organizer,
SE10,Transport Organizer,
SE16,Data Browser,
SE16N,General Table Display,
SE43,Maintain Area Menu,
SEARCH_SAP_MENU,Find in SAP Menu,
SEARCH_USER_MENU,Find in User Menu,
SESSION_MANAGER,Session Manager Menu Tree Display,
SFW_BROWSER,Switch Framework Browser,
SHD0,Transaction and Screen Variants,
SLDB,Logical Databases (Tree Structure),
SLG1,Application Log: Display Logs,
SM02,System Messages,
SM05,HTTP Session Management: Monitoring,
SM21,Online System Log Analysis,
SM29,Model Transfer for Tables,
SM30,Call View Maintenance,
SM33,Display Table Parameter ID TAB,
SM34,Viewcluster maintenance call,
SM35,Batch Input Monitoring,
SM52,Virtual Machine Overview,
SMQ1,qRFC Monitor (Outbound Queue),
SMQ2,qRFC Monitor (Inbound Queue),
SMQ3,qRFC Monitor (Saved E-Queue),
SMT,Customizing Transformation Workbench,
SMT2,Trusted-Trusting Connections,
SMX,Display Own Jobs,
SMXX,Display Own Jobs,
SNRO,Number Range Objects,
SO00,SAPoffice: Short Message,
SO01,SAPoffice: Inbox,
SO02,SAPoffice: Outbox,
SO03,SAPoffice: Private Folders,
SO07,SAPoffice: Resubmission,
SO10,SAPscript: Standard Texts,
SP02,Display Spool Requests,
SPAR,Determine Storage Parameters,
SPRO,Customizing - Edit Project,
SSC0,SAP Appointment Calendar (Employee),
SSC1,SAP (own) Appointment Calendar,
ST03,Workload and Performance Statistics,
ST05,Performance Trace,
ST07,Application monitor,
ST22,ABAP Dump Analysis,
STRUSTSSO2,Trust Manager for Logon Ticket,
STVARV,Selection variable maint. (TVARV),
STZAD,Disp.time zone activat.in client,
STZBD,Display time zones (Basis Cust.),
SU01D,User Display,
SU3,Maintain Users Own Data,
SU53,Evaluate Authorization Check,
SU56,Analyze User Buffer,
SUIM,User Information System,
SU_VCUSRVARCOM_DISP,Display View Cluster VCUSRVARCOM,
SU_VCUSRVAR_DISP,Display View Cluster VCUSRVAR,
SWEINST,Display Instance Linkages,
SWEL,Display Event Trace,
SWETYPV,Display/Maint. Event Type Linkages,
SWF_TRC,Workflow Trace: Display,
SWI1,Selection report for workflows,
SWI5,Workload Analysis,
SWIA,WI Administration Report,
SWK1,Start Work Item Execution/Display,
SWO_ASYNC,Asynchronous Method Call in BOR,
SWPR,WFM: Restart Workflow,
SWU2,Workflow RFC Monitor,
SWU4,Consistency Test for Standard Task,
SWU9,Display Workflow Trace,
SWUD,Workflow Diagnosis,
SXMB_MONI,Integrationration Engine - Monitoring,
S_AC0_52000644,Deferred Tax Transfer,
TPM1,Execute Valuation,
TPM10,Fix. post or reverse transactions,
TPM12,Treasury Ledger: Position List,
TPM13,Treasury Ledger: Flow List,
TPM14,Update Types - Valn Class Transfer,
TPM18,Fix/Post Derived Business Transact.,
TPM2,Reverse Valuation,
TPM20,Posting Journal,
TPM25,Post Margin Flows,
TPM27,Generate Derived Flows,
TPM28,Transfer Account Assignment Reference,
TPM29,Reverse Account Assignm. Ref. Transfer,
TPM3,Account Asst Reference Allocations,
TPM30,Def. Determ. of Account Assgmt Ref.,
TPM31,Def. Determ. of Account Assgmt Ref.,
TPM32,Def. Determ. of Account Assgmt Ref.,
TPM33,Account Determination Overview,
TPM44,Fin.Products Profit Accrual/Deferral,
TPM45,Reverse Accrual/Deferral of Income,
TPM50,Change Position Mgmt Procedure,
TPM51,Periodic TRL Reporting,
TPM55A,Generate Position ID (Securities),
TPM56A,Change Position ID (Securities),
TPM56C,Change PositionID (OTC Transactions),
TPM57A,Display Position ID (Securities),
TPM57C,Display Pos. ID (OTC Transactions),
TPM60,Save NPVs,
TPM61,Execute Data Transfer Positions,
TPM61A,Position Information: Securities,
TPM62,Reverse Data Transfer Positions,
TPM63,Execute Data Transfer,
TPM63A,Val. Area-Independ. Data: Securities,
TPM63B,Val. Area-Dependent Data: Securities,
TPM63C,"Val.Area-Dep. Data: MM, FX, OTC Der.",
TPM63D,Val. Area-Dependent Data: Futures,
TPM64,Reverse Data Transfer,
TPM65,P-HA: Execute Data Transfer,
TPM66,P-HA: Cancel Data Transfer,
TPM70,Record or Clear Impairment,
TPM71,Reverse Impairment,
TPM73,Special security valn,
TPM74,Enter Values for Manual Valuation,
TPMN_TRAC2,Number Range Maintenance: TPMN_TRAC2,
TPM_INITIALIZE,Initialization of Parallel Val.Areas,
TPM_INIT_HREL,Initialization Hedging Relationship,
TPM_INIT_HREL_REV,Reverse Initialization Hedging Rel.,
TPM_MIGRATION,Conversion to ERP2007,
TPM_NR_HINST,Number range maintenance: TPMN_HINST,
TPM_NR_HITEM,Number range maintenance: TPMN_HITEM,
TPM_NR_HREL,Number range maintenance: TPMN_HREL,
TPM_PAY_ASSIGN,Generation Payment Indicator,
TPM_PL_ASSIGN,Generate Profit/Loss Indicators,
TPM_POSTAUTREV,Reverse Automatic Debit Position Run,
TPM_TRM_HMD_REL01,Customizing for Docum. Release,
TPM_TRM_HM_REL01,Customizing for Bus.Tr. Release,
TRBS,Automatic Postings Loans: Activities,
TRCMB,Report Tree: Cash Management,
TRDEB,Report Tree: Derivatives,
TRFXB,Report Tree: Foreign Exchange,
TRISB,Report Tree: Information System,
TRLCCHK,TRL Customizing Check,
TRLOB,Report Tree: Loans,
TRLO_KORRES_VERWTBST,Where-Used for CML Texts,
TRLO_TBSCOPY,Copy Texts Between Clients,
TRM7,Maintain Auth.Object Presentation,
TRMF_FLDS_DEACTIVATE,Deactivate Fields (For All Users),
TRMF_USER_D_MAINTAIN,Maintain Dependencies: Cust. Char.,
TRMF_USER_K_MAINTAIN,Maintain Fld Catalog: Cust.Key.Fig.,
TRMF_USER_M_MAINTAIN,Maintain Field Catalog: Cust. Char.,
TRMMB,Report Tree: Money Market,
TX-2,Maturity schedule for fwd exch.trans,
TX-5,Settle forex transaction,
TX.3,Display Forex Transaction,
TX01,Spot/Forward Transaction Entry,
TX02,Change Forex Transaction,
TX06,Forex: Collective processing,
TX11,Rollover on previous basis,
TX12,Premature Settlement,
TX30,Int. FX Transactions: Rate Overview,
TX31,Create Internal Forex Transaction,
TXAK,Calculation of option premiums,
TXBA,Text Module Maintenance,
TXV5,Execute Fixing Transaction,
T_03,Cond.tab: Create (shipment costs),
T_04,CondTab: Change (shipment costs),
T_05,CondTab: Display (shipment costs),
